workspace_id,name,address_name,x,y,img_url,area_group,type
43,에이바우트커피 신라신성점,제주특별자치도 제주시 노연로 62,126.4867216,33.48574766,http://place.map.kakao.com/1800067564,제주도,workspace
44,바나나 오피스,제주특별자치도 제주시 원노형3길 4-9,126.4851162,33.48721601,http://place.map.kakao.com/1562579151,제주도,workspace
45,차차커피코 제주연동점,제주특별자치도 제주시 노연로 75,126.488217,33.48614333,http://place.map.kakao.com/1905275157,제주도,workspace
46,플랜에이스터디카페 제주아라센터,제주특별자치도 제주시 아란8길 5,126.545057,33.47332434,http://place.map.kakao.com/1003258874,제주도,workspace
47,르하임스터디카페 제주아라점,제주특별자치도 제주시 중앙로 558,126.5453256,33.47380858,http://place.map.kakao.com/2105309812,제주도,workspace
48,르하임스터디카페 제주시청점,제주특별자치도 제주시 중앙로 230-1,126.5298094,33.49900255,http://place.map.kakao.com/2103044908,제주도,workspace
49,시너지플레이스 제주법원점,제주특별자치도 제주시 중앙로 319-1,126.535991,33.49270749,http://place.map.kakao.com/893658224,제주도,workspace
50,그로우랩스터디카페 제주일도점,제주특별자치도 제주시 동광로 133,126.5407639,33.50807399,http://place.map.kakao.com/2089293522,제주도,workspace
51,케이독서실스터디카페,제주특별자치도 제주시 중앙로 376,126.5392316,33.48853618,http://place.map.kakao.com/1870077858,제주도,workspace
52,초심스터디카페 제주이도점,제주특별자치도 제주시 중앙로 291,126.5341323,33.49478139,http://place.map.kakao.com/863754743,제주도,workspace
53,퍼스트클래스,제주특별자치도 제주시 중앙로 206,126.5285743,33.50093358,http://place.map.kakao.com/1004913881,제주도,workspace
54,하우스터디 제주도남스터디카페,제주특별자치도 제주시 도남서길 2,126.524972,33.49253951,http://place.map.kakao.com/254104824,제주도,workspace
55,우드스터디카페,제주특별자치도 제주시 용문로17길 9,126.5085269,33.50770687,http://place.map.kakao.com/1355802674,제주도,workspace
56,노벨스터디카페 제주2호점,제주특별자치도 제주시 전농로 113,126.5251756,33.50452156,http://place.map.kakao.com/1191639474,제주도,workspace
57,그루스터디카페 제주일도센터,제주특별자치도 제주시 고마로19길 2,126.5419708,33.50452979,http://place.map.kakao.com/1608428575,제주도,workspace
58,셀독24스터디카페 제주삼화점,제주특별자치도 제주시 화삼북로 139,126.5879852,33.51725236,http://place.map.kakao.com/961296477,제주도,workspace
59,초심스터디카페 제주삼화점,제주특별자치도 제주시 건주로 27,126.5811403,33.51708875,http://place.map.kakao.com/342542945,제주도,workspace
60,그로우랩스터디카페 제주법원점,제주특별자치도 제주시 중앙로 326,126.5357114,33.49205729,http://place.map.kakao.com/1272615893,제주도,workspace
